Location,Complex,Area(m²),Price(₩10k),Built_Year,Contract_Date,Floor,Station,Phase
정왕동,주공2,59.67,18000,1997,2017-01-13,1,UnjeongCentral,Before
포동,서강,52.08,13000,1997,2017-01-31,13,UnjeongCentral,Before
죽율동,시흥6차푸르지오2단지,59.98,24500,2013,2017-01-12,5,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,62.8305,30000,2015,2017-01-11,8,UnjeongCentral,Before
정왕동,월드,47.455,16500,1995,2017-01-09,3,UnjeongCentral,Before
정왕동,한일,59.91,20000,1996,2017-01-31,8,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,35700,2004,2017-01-04,20,UnjeongCentral,Before
정왕동,동보,25.04,10200,1997,2017-01-09,1,UnjeongCentral,Before
월곶동,풍림아이원2차,37.918,15600,2005,2017-01-18,15,UnjeongCentral,Before
목감동,대명,74.16,17500,1990,2017-01-16,5,UnjeongCentral,Before
장곡동,숲속마을,59.965,20500,1999,2017-01-05,8,UnjeongCentral,Before
은행동,대우푸르지오4차,71.9352,31500,2004,2017-01-20,13,UnjeongCentral,Before
은행동,신명,48.84,18600,1995,2017-01-25,13,UnjeongCentral,Before
도창동,에이스,59.34,17000,1997,2017-01-06,12,UnjeongCentral,Before
월곶동,월곶동유호NPLUSVILLE,35.025,9900,2004,2017-01-10,11,UnjeongCentral,Before
포동,산과우리들포동태산,59.95,14900,1993,2017-01-19,6,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,23200,2005,2017-01-23,12,UnjeongCentral,Before
도창동,에이스,59.34,16700,1997,2017-01-20,12,UnjeongCentral,Before
신천동,뉴월드,42.81,10750,1997,2017-01-17,5,UnjeongCentral,Before
정왕동,무진,54.63,15400,1995,2017-01-13,1,UnjeongCentral,Before
은행동,예스라이프,56.966,21500,2008,2017-01-09,13,UnjeongCentral,Before
월곶동,풍림아이원1차,32.95,12900,2002,2017-01-18,14,UnjeongCentral,Before
정왕동,아주,84.195,20950,1994,2017-01-16,24,UnjeongCentral,Before
월곶동,풍림아이원1차,26.94,11300,2002,2017-01-03,16,UnjeongCentral,Before
목감동,청도,48.8,13800,1986,2017-01-18,4,UnjeongCentral,Before
은행동,시흥성원샹떼빌,59.73,22600,1995,2017-01-16,1,UnjeongCentral,Before
월곶동,월곶Ⅱ유호N플러스빌,84.7843,26500,2009,2017-01-23,11,UnjeongCentral,Before
죽율동,시흥6차푸르지오1단지,84.99,31700,2014,2017-01-06,21,UnjeongCentral,Before
장곡동,숲속마을,59.965,18750,1999,2017-01-06,16,UnjeongCentral,Before
논곡동,산호,59.79,16400,1992,2017-01-11,15,UnjeongCentral,Before
거모동,일우,42.72,10300,1988,2017-01-31,2,UnjeongCentral,Before
대야동,늘푸른벽산,84.9,30100,1995,2017-01-05,15,UnjeongCentral,Before
매화동,매화마을홍익,84.87,23000,2000,2017-01-11,20,UnjeongCentral,Before
정왕동,계룡리슈빌,84.97,24250,1997,2017-01-25,8,UnjeongCentral,Before
대야동,청구2,59.835,24950,1997,2017-01-07,8,UnjeongCentral,Before
신천동,금보,64.14,13250,1990,2017-01-11,1,UnjeongCentral,Before
월곶동,월곶4차풍림아이원,84.842,26200,2006,2017-01-03,15,UnjeongCentral,Before
신천동,동진2,59.99,14000,1991,2017-01-11,1,UnjeongCentral,Before
대야동,영남2,37.47,13700,1987,2017-01-26,2,UnjeongCentral,Before
거모동,해오름아파트101동,48.47,22800,2016,2017-01-18,4,UnjeongCentral,Before
은행동,진주,43.9425,7900,1986,2017-01-25,5,UnjeongCentral,Before
정왕동,건영1,59.99,18300,1997,2017-01-12,4,UnjeongCentral,Before
정왕동,무진,54.63,16700,1995,2017-01-04,3,UnjeongCentral,Before
은행동,대우푸르지오3차,59.258,25650,1998,2017-01-04,12,UnjeongCentral,Before
정왕동,화성,128.43,30300,1997,2017-01-11,2,UnjeongCentral,Before
정왕동,대림2,59.901,20000,1998,2017-01-25,7,UnjeongCentral,Before
조남동,삼호가든아파트,59.95,20900,1997,2017-01-03,5,UnjeongCentral,Before
장현동,J-PARK,66.195,18200,2004,2017-01-05,7,UnjeongCentral,Before
월곶동,풍림아이원1차,32.95,13300,2002,2017-01-23,17,UnjeongCentral,Before
은행동,두산,84.9,29400,1997,2017-01-11,16,UnjeongCentral,Before
은행동,두산,71.55,24000,1997,2017-01-21,16,UnjeongCentral,Before
정왕동,월드,47.455,16900,1995,2017-01-10,3,UnjeongCentral,Before
월곶동,승윤노블리안시티,14.81,6700,2014,2017-01-10,14,UnjeongCentral,Before
정왕동,삼성,73.994,22400,1996,2017-01-13,9,UnjeongCentral,Before
장곡동,진말삼환한진아파트,84.87,24500,1999,2017-01-21,4,UnjeongCentral,Before
은행동,대우2차,48.664,18000,1997,2017-01-02,8,UnjeongCentral,Before
정왕동,세종1,84.94,25350,1996,2017-01-26,3,UnjeongCentral,Before
월곶동,풍림아이원1차,32.95,13500,2002,2017-01-10,13,UnjeongCentral,Before
정왕동,주공2,59.67,17800,1997,2017-01-21,8,UnjeongCentral,Before
정왕동,서해1,84.98,26600,1997,2017-01-10,9,UnjeongCentral,Before
정왕동,세종2,84.84,22500,1997,2017-01-12,1,UnjeongCentral,Before
장현동,새재마을청구,59.91,23000,2001,2017-01-19,15,UnjeongCentral,Before
거모동,아주4차아파트,84.465,18000,1993,2017-01-22,4,UnjeongCentral,Before
정왕동,모아,59.97,20300,1997,2017-01-23,4,UnjeongCentral,Before
정왕동,대림1,84.91,26500,1998,2017-01-13,4,UnjeongCentral,Before
정왕동,세종3,124.77,32000,1998,2017-01-13,4,UnjeongCentral,Before
정왕동,대림2,59.903,20400,1998,2017-01-11,8,UnjeongCentral,Before
정왕동,계룡2,59.85,17800,1998,2017-01-16,3,UnjeongCentral,Before
하중동,참이슬마을,84.96,25600,1999,2017-01-10,2,UnjeongCentral,Before
정왕동,건영1,84.93,24300,1997,2017-01-24,7,UnjeongCentral,Before
정왕동,신동아,84.883,23000,1996,2017-01-04,5,UnjeongCentral,Before
대야동,늘푸른벽산,99.92,29000,1995,2017-01-09,14,UnjeongCentral,Before
하중동,관곡마을동아,60.0,18250,2000,2017-01-08,12,UnjeongCentral,Before
하상동,연꽃마을대우삼호아파트,59.88,19000,1999,2017-01-18,8,UnjeongCentral,Before
정왕동,요진,84.88,23000,1997,2017-01-07,6,UnjeongCentral,Before
하중동,대우4,84.4777,26600,2002,2017-01-16,7,UnjeongCentral,Before
은행동,대우푸르지오3차,99.95,34300,1998,2017-01-14,13,UnjeongCentral,Before
하중동,관곡마을동아,60.0,19000,2000,2017-01-02,2,UnjeongCentral,Before
정왕동,고합,84.96,23700,1998,2017-01-10,7,UnjeongCentral,Before
정왕동,영남6,59.99,21000,1997,2017-01-11,5,UnjeongCentral,Before
정왕동,대림2,51.228,16700,1998,2017-01-09,4,UnjeongCentral,Before
월곶동,풍림아이원1차,199.88,34000,2002,2017-01-02,19,UnjeongCentral,Before
정왕동,보성,59.89,21700,1998,2017-01-09,6,UnjeongCentral,Before
대야동,서해,59.58,23000,1997,2017-01-20,7,UnjeongCentral,Before
은행동,철산,42.67,8860,1986,2017-01-17,3,UnjeongCentral,Before
미산동,상아그린,59.95,13300,1995,2017-01-12,3,UnjeongCentral,Before
정왕동,계룡리슈빌,59.67,20500,1997,2017-01-10,6,UnjeongCentral,Before
정왕동,미주,84.87,24400,1996,2017-01-13,8,UnjeongCentral,Before
정왕동,동남,46.95,16000,1998,2017-01-07,4,UnjeongCentral,Before
정왕동,월드,59.935,20400,1995,2017-01-09,10,UnjeongCentral,Before
죽율동,시흥6차푸르지오2단지,59.98,25300,2013,2017-01-03,10,UnjeongCentral,Before
거모동,동보,25.12,6700,1999,2017-01-24,6,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,84.9805,38800,2015,2017-01-08,3,UnjeongCentral,Before
거모동,유호,59.82,17500,1998,2017-01-12,10,UnjeongCentral,Before
정왕동,청솔아파트,48.45,15400,1999,2017-01-26,8,UnjeongCentral,Before
조남동,세우,41.625,10400,1986,2017-01-25,4,UnjeongCentral,Before
월곶동,승윤노블리안시티,14.37,6500,2014,2017-01-04,13,UnjeongCentral,Before
장곡동,숲속마을,59.965,18500,1999,2017-01-09,12,UnjeongCentral,Before
정왕동,미주,84.87,24000,1996,2017-01-07,9,UnjeongCentral,Before
정왕동,동남,46.95,16000,1998,2017-01-14,1,UnjeongCentral,Before
대야동,우성2,41.55,15600,1995,2017-01-13,2,UnjeongCentral,Before
신천동,제성,37.8,7100,1987,2017-01-07,4,UnjeongCentral,Before
대야동,우성2,41.55,14800,1995,2017-01-13,1,UnjeongCentral,Before
대야동,영남1,39.84,14800,1986,2017-01-23,3,UnjeongCentral,Before
대야동,우성2,59.96,23500,1995,2017-01-14,8,UnjeongCentral,Before
월곶동,알파시티,16.8,6000,2013,2017-01-16,9,UnjeongCentral,Before
포동,태현2,53.08,12300,1991,2017-01-10,2,UnjeongCentral,Before
거모동,아주5,59.93,17420,1994,2017-01-14,14,UnjeongCentral,Before
월곶동,알파시티,16.8,6000,2013,2017-01-16,9,UnjeongCentral,Before
정왕동,월드,59.935,19500,1995,2017-01-20,5,UnjeongCentral,Before
신천동,경신둥지,57.33,13900,1991,2017-01-07,2,UnjeongCentral,Before
장곡동,삼성래미안,84.97,22900,1999,2017-01-06,5,UnjeongCentral,Before
신천동,현진2차,54.96,14900,1998,2017-01-12,4,UnjeongCentral,Before
하상동,연꽃마을태평2,59.85,18300,2003,2017-01-03,2,UnjeongCentral,Before
정왕동,월드,47.455,13700,1995,2017-01-19,5,UnjeongCentral,Before
정왕동,주공2,59.67,17450,1997,2017-01-23,7,UnjeongCentral,Before
정왕동,대림4,117.251,31800,1997,2017-01-11,8,UnjeongCentral,Before
정왕동,대림4,117.251,31200,1997,2017-01-10,5,UnjeongCentral,Before
대야동,서강2,31.5,13000,1997,2017-01-03,13,UnjeongCentral,Before
정왕동,대림4,117.251,30800,1997,2017-01-07,6,UnjeongCentral,Before
은행동,시흥성원샹떼빌,37.8,15900,1995,2017-01-12,10,UnjeongCentral,Before
포동,산과우리들포동태산,59.95,16150,1993,2017-01-22,7,UnjeongCentral,Before
죽율동,시흥6차푸르지오1단지,84.99,29600,2014,2017-01-02,5,UnjeongCentral,Before
죽율동,시흥6차푸르지오2단지,107.58,32200,2013,2017-01-11,18,UnjeongCentral,Before
죽율동,시흥6차푸르지오1단지,84.99,29000,2014,2017-01-02,3,UnjeongCentral,Before
거모동,동보,25.12,6500,1999,2017-01-19,20,UnjeongCentral,Before
거모동,동보,25.12,6850,1999,2017-01-05,15,UnjeongCentral,Before
은행동,시흥성원샹떼빌,37.8,15100,1995,2017-01-07,13,UnjeongCentral,Before
매화동,서능1차(101~103동),45.66,8500,1991,2017-01-03,5,UnjeongCentral,Before
정왕동,계룡리슈빌,84.97,24000,1997,2017-01-09,3,UnjeongCentral,Before
월곶동,월곶동유호NPLUSVILLE,59.1825,18500,2004,2017-01-10,7,UnjeongCentral,Before
하중동,관곡마을성원,59.73,17300,1999,2017-01-08,4,UnjeongCentral,Before
은행동,철산,42.67,9500,1986,2017-01-11,4,UnjeongCentral,Before
정왕동,대림2,59.901,20000,1998,2017-01-12,5,UnjeongCentral,Before
정왕동,월드,59.935,18500,1995,2017-01-03,5,UnjeongCentral,Before
월곶동,풍림아이원2차,37.918,16000,2005,2017-01-04,18,UnjeongCentral,Before
정왕동,계룡리슈빌,84.97,23500,1997,2017-01-06,10,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,35800,2004,2017-01-04,18,UnjeongCentral,Before
매화동,금강2차,59.748,14300,1997,2017-01-07,3,UnjeongCentral,Before
정왕동,시화두산,50.03,16830,1996,2017-01-03,4,UnjeongCentral,Before
정왕동,모아,59.97,20050,1997,2017-01-04,2,UnjeongCentral,Before
죽율동,시흥6차푸르지오2단지,59.98,24400,2013,2017-01-06,4,UnjeongCentral,Before
거모동,동보,25.12,6800,1999,2017-01-11,13,UnjeongCentral,Before
정왕동,한신공영,73.09,20300,1996,2017-01-03,1,UnjeongCentral,Before
거모동,녹원,84.99,19650,1992,2017-01-06,6,UnjeongCentral,Before
정왕동,서해1,84.98,26000,1997,2017-01-10,6,UnjeongCentral,Before
정왕동,한신공영,84.95,22000,1996,2017-01-06,1,UnjeongCentral,Before
정왕동,아주,60.625,17300,1994,2017-01-07,2,UnjeongCentral,Before
거모동,동보,25.12,6800,1999,2017-01-06,5,UnjeongCentral,Before
대야동,극동,59.77,22500,2000,2017-01-07,7,UnjeongCentral,Before
대야동,동신,82.696,27800,2004,2017-01-02,1,UnjeongCentral,Before
정왕동,대림1,59.901,18800,1998,2017-01-03,4,UnjeongCentral,Before
정왕동,금강,84.84,25000,1996,2017-01-05,6,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,62.8305,31000,2015,2017-01-02,20,UnjeongCentral,Before
은행동,진주,43.9425,7470,1986,2017-02-27,4,UnjeongCentral,Before
은행동,광덕2,80.64,19100,1991,2017-02-17,9,UnjeongCentral,Before
목감동,대명,74.16,19000,1990,2017-02-22,11,UnjeongCentral,Before
대야동,서강1,52.2,18000,1995,2017-02-21,3,UnjeongCentral,Before
목감동,대명,74.16,19700,1990,2017-02-22,14,UnjeongCentral,Before
거모동,유호,84.78,22700,1998,2017-02-28,6,UnjeongCentral,Before
장곡동,동양덱스빌,59.94,20200,1999,2017-02-25,7,UnjeongCentral,Before
거모동,동보,59.72,15700,1999,2017-02-28,15,UnjeongCentral,Before
거모동,아주3,59.775,12900,1992,2017-02-27,10,UnjeongCentral,Before
정왕동,영남6,59.99,19200,1997,2017-02-21,4,UnjeongCentral,Before
죽율동,시흥6차푸르지오1단지,84.99,28900,2014,2017-02-18,3,UnjeongCentral,Before
신천동,시흥신천삼환나우빌,120.406,41600,2012,2017-02-21,4,UnjeongCentral,Before
조남동,삼호가든아파트,84.98,26000,1997,2017-02-25,5,UnjeongCentral,Before
조남동,세원,46.14,12700,1986,2017-02-17,2,UnjeongCentral,Before
매화동,삼화그린,59.76,16500,1998,2017-02-23,6,UnjeongCentral,Before
정왕동,영남6,59.99,21000,1997,2017-02-22,4,UnjeongCentral,Before
은행동,시흥성원샹떼빌,49.5,17900,1995,2017-02-21,15,UnjeongCentral,Before
대야동,청구2,59.835,25000,1997,2017-02-21,7,UnjeongCentral,Before
월곶동,풍림아이원2차,84.829,25900,2005,2017-02-23,3,UnjeongCentral,Before
정왕동,영남1,59.908,18900,1996,2017-02-27,10,UnjeongCentral,Before
도창동,에이스,84.99,23000,1997,2017-02-17,7,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,84.025,39300,2015,2017-02-24,18,UnjeongCentral,Before
거모동,동운디오빌,70.542,17000,2004,2017-02-24,3,UnjeongCentral,Before
정왕동,주공3,59.67,17900,1997,2017-02-24,7,UnjeongCentral,Before
장현동,드림펠리스,84.94,23000,2004,2017-02-15,7,UnjeongCentral,Before
거모동,유호,59.82,17500,1998,2017-02-17,9,UnjeongCentral,Before
논곡동,황제,61.11,19000,1986,2017-02-25,3,UnjeongCentral,Before
논곡동,황제,50.31,12750,1986,2017-02-23,2,UnjeongCentral,Before
목감동,명신,55.89,15000,1986,2017-02-17,5,UnjeongCentral,Before
신천동,시흥5차푸르지오,110.4398,40000,2011,2017-02-26,15,UnjeongCentral,Before
장곡동,진말우성아파트,84.972,27600,1999,2017-02-23,15,UnjeongCentral,Before
