법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
인창동,인창이편한세상,84.835,34500,2004,2017-05-23,15,장자호수공원역,개통 전
인창동,원일가대라곡,84.56,42000,2005,2017-05-26,12,장자호수공원역,개통 전
인창동,원일가대라곡,84.56,40500,2005,2017-05-23,8,장자호수공원역,개통 전
교문동,한성,71.79,33800,1990,2017-05-29,3,장자호수공원역,개통 전
인창동,주공4-1,58.14,29700,1996,2017-05-24,14,장자호수공원역,개통 전
인창동,건영,72.58,28000,1994,2017-05-08,11,장자호수공원역,개통 전
교문동,장자마을금호1-2,54.978,40000,2001,2017-05-20,12,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,42800,2001,2017-05-25,11,장자호수공원역,개통 전
인창동,삼환,99.97,37000,1996,2017-05-22,13,장자호수공원역,개통 전
교문동,하나(한성)아파트,84.726,42000,1994,2017-05-23,9,장자호수공원역,개통 전
토평동,토평마을 e편한세상,84.599,54000,2001,2017-05-19,5,장자호수공원역,개통 전
인창동,주공6,49.67,28900,1996,2017-05-30,11,장자호수공원역,개통 전
인창동,주공1,59.93,28000,1996,2017-05-24,2,장자호수공원역,개통 전
교문동,하나(유원)아파트,71.076,37200,1994,2017-05-26,2,장자호수공원역,개통 전
교문동,하나(한성)아파트,101.826,46700,1994,2017-05-17,10,장자호수공원역,개통 전
교문동,구리(우성),60.56,32300,1994,2017-05-25,13,장자호수공원역,개통 전
교문동,하나(유원)아파트,122.58,52800,1994,2017-05-23,8,장자호수공원역,개통 전
교문동,하나(한성)아파트,84.726,38700,1994,2017-05-23,13,장자호수공원역,개통 전
교문동,한가람아파트,84.92,41800,1994,2017-05-15,13,장자호수공원역,개통 전
교문동,하나(유원)아파트,71.076,38000,1994,2017-05-12,11,장자호수공원역,개통 전
수택동,원일(552),57.15,22000,1989,2017-05-10,3,장자호수공원역,개통 전
수택동,원일(552),69.885,26000,1989,2017-05-17,3,장자호수공원역,개통 전
교문동,한성,71.79,33300,1990,2017-05-22,4,장자호수공원역,개통 전
교문동,한성,84.99,39950,1990,2017-05-29,1,장자호수공원역,개통 전
수택동,대림한숲,84.245,41000,1995,2017-05-13,6,장자호수공원역,개통 전
수택동,대림한숲,51.66,28700,1995,2017-05-17,8,장자호수공원역,개통 전
교문동,토평신명,84.63,58000,2001,2017-05-29,14,장자호수공원역,개통 전
수택동,대림한숲,51.66,29000,1995,2017-05-29,6,장자호수공원역,개통 전
수택동,대림한숲,51.66,28300,1995,2017-05-10,12,장자호수공원역,개통 전
갈매동,한라비발디,74.92,40700,2016,2017-05-27,11,장자호수공원역,개통 전
교문동,구리(한양),60.44,30450,1994,2017-05-27,15,장자호수공원역,개통 전
교문동,구리(한양),101.95,47000,1994,2017-05-11,2,장자호수공원역,개통 전
교문동,구리(한양),60.44,30000,1994,2017-05-24,4,장자호수공원역,개통 전
수택동,한성3,59.72,34400,1994,2017-05-15,13,장자호수공원역,개통 전
인창동,구리인창2차동문굿모닝힐,84.967,35600,2007,2017-05-28,11,장자호수공원역,개통 전
인창동,원일아름,59.81,29000,1998,2017-05-30,23,장자호수공원역,개통 전
교문동,교문동금호어울림,84.769,37350,2009,2017-05-29,3,장자호수공원역,개통 전
수택동,수택동금호어울림,84.941,37000,2006,2017-05-12,13,장자호수공원역,개통 전
인창동,원일아름,84.75,32250,1998,2017-05-15,13,장자호수공원역,개통 전
교문동,하나(한성)아파트,84.726,42000,1994,2017-05-30,6,장자호수공원역,개통 전
갈매동,갈매더샵나인힐스,84.7845,47000,2016,2017-05-06,16,장자호수공원역,개통 전
인창동,주공1,58.14,29000,1996,2017-05-10,15,장자호수공원역,개통 전
인창동,주공6,58.14,31100,1996,2017-05-16,7,장자호수공원역,개통 전
인창동,주공1,37.67,24000,1996,2017-05-21,12,장자호수공원역,개통 전
인창동,주공6,58.14,31750,1996,2017-05-21,15,장자호수공원역,개통 전
수택동,토평주공,59.92,33800,2002,2017-05-25,11,장자호수공원역,개통 전
인창동,주공4-2,59.98,30500,1996,2017-05-20,8,장자호수공원역,개통 전
인창동,주공2,84.99,38450,1997,2017-05-19,4,장자호수공원역,개통 전
토평동,삼성,100.42,52500,2001,2017-05-02,8,장자호수공원역,개통 전
토평동,유진스웰,84.9884,41700,2009,2017-05-02,17,장자호수공원역,개통 전
인창동,주공6,58.14,31800,1996,2017-05-27,14,장자호수공원역,개통 전
인창동,동원베네스트,59.81,32500,2004,2017-05-25,17,장자호수공원역,개통 전
